C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_16_625.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_16_625.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_16_625.jpg, 0, 0, 0, 5.197608E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_16_733.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_16_733.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_16_733.jpg, 0, 0, 0, 5.19932E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_16_844.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_16_844.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_16_844.jpg, 0, 0, 0, 5.203453E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_16_959.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_16_959.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_16_959.jpg, 0, 0, 0, 5.210834E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_17_072.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_17_072.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_17_072.jpg, 0, 0, 0, 5.211942E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_17_183.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_17_183.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_17_183.jpg, 0, 0, 0, 5.213996E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_17_289.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_17_289.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_17_289.jpg, 0, 0, 0, 5.215942E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_17_397.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_17_397.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_17_397.jpg, 0, 0, 0, 5.224317E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_17_506.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_17_506.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_17_506.jpg, 0, 0, 0, 5.230534E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_17_610.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_17_610.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_17_610.jpg, 0, 0, 0, 5.231626E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_17_711.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_17_711.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_17_711.jpg, 0, 0, 0, 5.23333E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_17_820.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_17_820.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_17_820.jpg, 0, 0, 0, 5.239001E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_17_928.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_17_928.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_17_928.jpg, 0, 0, 0, 5.243703E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_18_035.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_18_035.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_18_035.jpg, 0, 0, 0, 5.247883E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_18_145.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_18_145.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_18_145.jpg, 0, 0, 0, 5.245949E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_18_255.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_18_255.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_18_255.jpg, 0, 0, 0, 5.231474E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_18_362.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_18_362.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_18_362.jpg, 0, 0, 0, 5.203445E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_18_493.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_18_493.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_18_493.jpg, 0, 0, 0, 5.177786E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_18_629.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_18_629.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_18_629.jpg, 0, 0, 0, 5.162012E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_18_733.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_18_733.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_18_733.jpg, 0, 0, 0, 5.159883E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_18_840.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_18_840.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_18_840.jpg, 0, 0, 0, 5.15329E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_18_949.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_18_949.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_18_949.jpg, 0, 0, 0, 5.149542E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_19_056.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_19_056.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_19_056.jpg, 0, 0, 0, 5.154547E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_19_191.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_19_191.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_19_191.jpg, 0, 0, 0, 5.162643E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_19_324.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_19_324.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_19_324.jpg, 0, 0, 0, 5.176014E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_19_464.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_19_464.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_19_464.jpg, 0, 0, 0, 5.185221E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_19_571.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_19_571.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_19_571.jpg, 0, 0, 0, 5.197882E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_19_676.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_19_676.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_19_676.jpg, 0, 0, 0, 5.20946E-05
C:\self_driving_car\simulator-windows-64\data\IMG\center_2024_07_13_14_30_19_792.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\left_2024_07_13_14_30_19_792.jpg, C:\self_driving_car\simulator-windows-64\data\IMG\right_2024_07_13_14_30_19_792.jpg, 0, 0.3135378, 0, 0.3415087
